date,state,fips,cases,deaths
2020-12-31,Alabama,01,361226,4827
2020-12-31,Alaska,02,46740,198
2020-12-31,Arizona,04,523829,8879
2020-12-31,Arkansas,05,225138,3676
2020-12-31,California,06,2307769,25965
2020-12-31,Colorado,08,335579,4879
2020-12-31,Connecticut,09,185708,5995
2020-12-31,Delaware,10,57456,926
2020-12-31,District of Columbia,11,28983,786
2020-12-31,Florida,12,1323307,21672
2020-12-31,Georgia,13,644065,10588
2020-12-31,Guam,66,8286,123
2020-12-31,Hawaii,15,21459,286
2020-12-31,Idaho,16,141388,1438
2020-12-31,Illinois,17,965840,17979
2020-12-31,Indiana,18,514455,8263
2020-12-31,Iowa,19,281712,3891
2020-12-31,Kansas,20,225455,2741
2020-12-31,Kentucky,21,268828,2956
2020-12-31,Louisiana,22,315275,7488
2020-12-31,Maine,23,24201,347
2020-12-31,Maryland,24,276834,5895
2020-12-31,Massachusetts,25,375178,12423
2020-12-31,Michigan,26,527199,13010
2020-12-31,Minnesota,27,415361,5382
2020-12-31,Mississippi,28,215811,4787
2020-12-31,Missouri,29,418637,5887
2020-12-31,Montana,30,81701,962
2020-12-31,Nebraska,31,167795,1690
2020-12-31,Nevada,32,225178,3136
2020-12-31,New Hampshire,33,44028,759
2020-12-31,New Jersey,34,479381,19042
2020-12-31,New Mexico,35,142897,2479
2020-12-31,New York,36,979040,37557
2020-12-31,North Carolina,37,541070,6811
2020-12-31,North Dakota,38,92502,1299
2020-12-31,Northern Mariana Islands,69,122,2
2020-12-31,Ohio,39,700380,8962
2020-12-31,Oklahoma,40,290936,2489
2020-12-31,Oregon,41,113929,1485
2020-12-31,Pennsylvania,42,646060,16020
2020-12-31,Puerto Rico,72,109906,1503
2020-12-31,Rhode Island,44,87949,1777
2020-12-31,South Carolina,45,307507,5296
2020-12-31,South Dakota,46,99164,1488
2020-12-31,Tennessee,47,572579,6846
2020-12-31,Texas,48,1772163,28155
2020-12-31,Utah,49,276612,1270
2020-12-31,Vermont,50,7412,136
2020-12-31,Virgin Islands,78,2031,23
2020-12-31,Virginia,51,349584,5032
2020-12-31,Washington,53,251064,3523
2020-12-31,West Virginia,54,85334,1338
2020-12-31,Wisconsin,55,520438,5245
2020-12-31,Wyoming,56,44409,438
