date,state,fips,cases,deaths
2020-07-31,Alabama,01,87723,1580
2020-07-31,Alaska,02,3675,21
2020-07-31,Arizona,04,174108,3695
2020-07-31,Arkansas,05,42511,453
2020-07-31,California,06,502273,9222
2020-07-31,Colorado,08,46948,1841
2020-07-31,Connecticut,09,49810,4432
2020-07-31,Delaware,10,14788,585
2020-07-31,District of Columbia,11,12126,585
2020-07-31,Florida,12,470378,6842
2020-07-31,Georgia,13,171342,3674
2020-07-31,Guam,66,1325,6
2020-07-31,Hawaii,15,2088,25
2020-07-31,Idaho,16,20853,193
2020-07-31,Illinois,17,180701,7703
2020-07-31,Indiana,18,67800,2965
2020-07-31,Iowa,19,44753,872
2020-07-31,Kansas,20,28121,358
2020-07-31,Kentucky,21,30981,753
2020-07-31,Louisiana,22,116394,3949
2020-07-31,Maine,23,3912,123
2020-07-31,Maryland,24,88907,3493
2020-07-31,Massachusetts,25,117612,8609
2020-07-31,Michigan,26,90752,6453
2020-07-31,Minnesota,27,54503,1640
2020-07-31,Mississippi,28,58747,1663
2020-07-31,Missouri,29,51074,1305
2020-07-31,Montana,30,3977,60
2020-07-31,Nebraska,31,26211,338
2020-07-31,Nevada,32,48142,831
2020-07-31,New Hampshire,33,6583,415
2020-07-31,New Jersey,34,183535,15819
2020-07-31,New Mexico,35,20600,642
2020-07-31,New York,36,419723,32372
2020-07-31,North Carolina,37,122370,1947
2020-07-31,North Dakota,38,6473,107
2020-07-31,Northern Mariana Islands,69,42,2
2020-07-31,Ohio,39,91159,3489
2020-07-31,Oklahoma,40,36456,541
2020-07-31,Oregon,41,18510,325
2020-07-31,Pennsylvania,42,116787,7261
2020-07-31,Puerto Rico,72,16781,219
2020-07-31,Rhode Island,44,19022,1007
2020-07-31,South Carolina,45,89016,1712
2020-07-31,South Dakota,46,8764,130
2020-07-31,Tennessee,47,103144,1047
2020-07-31,Texas,48,443090,7273
2020-07-31,Utah,49,40258,308
2020-07-31,Vermont,50,1414,57
2020-07-31,Virgin Islands,78,406,8
2020-07-31,Virginia,51,89888,2174
2020-07-31,Washington,53,58725,1653
2020-07-31,West Virginia,54,6642,116
2020-07-31,Wisconsin,55,57020,943
2020-07-31,Wyoming,56,2726,26
