date,state,fips,cases,deaths
2021-04-18,Alabama,01,522401,10790
2021-04-18,Alaska,02,65390,318
2021-04-18,Arizona,04,853761,17153
2021-04-18,Arkansas,05,333452,5694
2021-04-18,California,06,3718233,60994
2021-04-18,Colorado,08,491968,6330
2021-04-18,Connecticut,09,329062,7995
2021-04-18,Delaware,10,101158,1602
2021-04-18,District of Columbia,11,46662,1096
2021-04-18,Florida,12,2168893,34438
2021-04-18,Georgia,13,1060199,19147
2021-04-18,Guam,66,8838,137
2021-04-18,Hawaii,15,31715,471
2021-04-18,Idaho,16,184887,2018
2021-04-18,Illinois,17,1305604,23955
2021-04-18,Indiana,18,711366,13224
2021-04-18,Iowa,19,360013,5882
2021-04-18,Kansas,20,308119,5001
2021-04-18,Kentucky,21,440669,6435
2021-04-18,Louisiana,22,451955,10282
2021-04-18,Maine,23,57285,765
2021-04-18,Maryland,24,436214,8562
2021-04-18,Massachusetts,25,672657,17462
2021-04-18,Michigan,26,873185,17922
2021-04-18,Minnesota,27,556459,7098
2021-04-18,Mississippi,28,309186,7153
2021-04-18,Missouri,29,588723,9115
2021-04-18,Montana,30,107198,1547
2021-04-18,Nebraska,31,216473,2336
2021-04-18,Nevada,32,310239,5365
2021-04-18,New Hampshire,33,91586,1270
2021-04-18,New Jersey,34,978853,25143
2021-04-18,New Mexico,35,194868,4003
2021-04-18,New York,36,1996876,51077
2021-04-18,North Carolina,37,950078,12416
2021-04-18,North Dakota,38,105785,1510
2021-04-18,Northern Mariana Islands,69,162,2
2021-04-18,Ohio,39,1053175,18991
2021-04-18,Oklahoma,40,444863,6697
2021-04-18,Oregon,41,175121,2472
2021-04-18,Pennsylvania,42,1111381,25744
2021-04-18,Puerto Rico,72,155316,2200
2021-04-18,Rhode Island,44,144149,2647
2021-04-18,South Carolina,45,569279,9336
2021-04-18,South Dakota,46,121056,1953
2021-04-18,Tennessee,47,816289,11951
2021-04-18,Texas,48,2850832,49757
2021-04-18,Utah,49,392818,2164
2021-04-18,Vermont,50,22016,242
2021-04-18,Virgin Islands,78,3028,26
2021-04-18,Virginia,51,646133,10581
2021-04-18,Washington,53,387382,5427
2021-04-18,West Virginia,54,148887,2785
2021-04-18,Wisconsin,55,651739,7420
2021-04-18,Wyoming,56,57267,703
