date,state,fips,cases,deaths
2020-10-31,Alabama,01,192285,2967
2020-10-31,Alaska,02,16247,77
2020-10-31,Arizona,04,245962,5979
2020-10-31,Arkansas,05,112190,1925
2020-10-31,California,06,935248,17661
2020-10-31,Colorado,08,107844,2309
2020-10-31,Connecticut,09,71207,4616
2020-10-31,Delaware,10,24951,708
2020-10-31,District of Columbia,11,17266,646
2020-10-31,Florida,12,802539,16760
2020-10-31,Georgia,13,372631,7790
2020-10-31,Guam,66,5650,80
2020-10-31,Hawaii,15,15207,218
2020-10-31,Idaho,16,64797,630
2020-10-31,Illinois,17,416557,10030
2020-10-31,Indiana,18,181837,4332
2020-10-31,Iowa,19,128798,1716
2020-10-31,Kansas,20,86771,1029
2020-10-31,Kentucky,21,109244,1551
2020-10-31,Louisiana,22,186649,5919
2020-10-31,Maine,23,6668,147
2020-10-31,Maryland,24,145593,4147
2020-10-31,Massachusetts,25,158576,9991
2020-10-31,Michigan,26,197164,7699
2020-10-31,Minnesota,27,148526,2511
2020-10-31,Mississippi,28,120160,3334
2020-10-31,Missouri,29,189925,3090
2020-10-31,Montana,30,32801,377
2020-10-31,Nebraska,31,70761,654
2020-10-31,Nevada,32,100844,1779
2020-10-31,New Hampshire,33,11084,483
2020-10-31,New Jersey,34,239679,16350
2020-10-31,New Mexico,35,46490,1018
2020-10-31,New York,36,512223,33152
2020-10-31,North Carolina,37,274805,4400
2020-10-31,North Dakota,38,43921,529
2020-10-31,Northern Mariana Islands,69,92,2
2020-10-31,Ohio,39,215697,5301
2020-10-31,Oklahoma,40,122762,1337
2020-10-31,Oregon,41,44923,690
2020-10-31,Pennsylvania,42,212816,8883
2020-10-31,Puerto Rico,72,66128,822
2020-10-31,Rhode Island,44,32874,1201
2020-10-31,South Carolina,45,176612,3935
2020-10-31,South Dakota,46,45992,425
2020-10-31,Tennessee,47,256923,3322
2020-10-31,Texas,48,953451,18549
2020-10-31,Utah,49,114670,604
2020-10-31,Vermont,50,2179,58
2020-10-31,Virgin Islands,78,1376,21
2020-10-31,Virginia,51,181190,3654
2020-10-31,Washington,53,112580,2468
2020-10-31,West Virginia,54,24460,457
2020-10-31,Wisconsin,55,237870,2092
2020-10-31,Wyoming,56,13298,87
